time,Azimuth,Pitch,Roll
3.128031,83.775,8.842,1.109
3.128248,83.903,8.757,1.153
3.128456,83.860,8.775,1.193
3.128774,83.914,8.760,1.111
3.129285,83.894,8.757,1.182
3.129713,83.913,8.732,1.251
3.130345,83.859,8.781,1.167
3.130696,83.877,8.765,1.195
3.145171,83.877,8.765,1.195
3.296556,83.276,8.765,1.195
3.313815,83.411,8.704,1.111
3.314562,83.295,8.773,1.097
3.315018,83.174,8.835,1.136
3.316321,83.296,8.753,1.195
3.317037,83.309,8.763,1.109
3.317456,83.442,8.675,1.166
3.317765,83.090,8.877,1.169
3.319252,83.349,8.748,1.068
3.319751,83.282,8.755,1.224
3.332688,83.282,8.755,1.224
3.487450,83.199,8.805,1.211
3.488125,84.440,8.805,1.211
3.488759,84.476,8.790,1.180
3.489726,84.587,8.724,1.193
3.491039,84.431,8.816,1.180
3.491348,84.395,8.836,1.181
3.491561,84.533,8.757,1.182
3.492015,84.490,8.777,1.207
3.492234,84.491,8.792,1.126
3.492687,84.274,8.906,1.181
3.503664,84.274,8.906,1.181
3.663973,84.479,8.809,1.067
3.664337,84.426,8.810,1.224
3.664801,84.447,8.819,1.111
3.665290,84.541,8.753,1.181
3.665517,84.511,8.762,1.223
3.665947,84.537,8.755,1.181
3.666184,84.404,8.826,1.206
3.666866,84.418,8.803,1.292
3.667438,84.588,8.738,1.112
3.685676,84.588,8.738,1.112
3.687024,82.746,8.738,1.112
3.844460,82.546,8.830,1.209
3.845061,82.817,8.695,1.124
3.845318,82.709,8.756,1.123
3.845574,82.620,8.791,1.193
3.846201,82.566,8.809,1.250
3.846853,82.873,8.649,1.194
3.847162,82.725,8.753,1.096
3.847581,82.738,8.722,1.211
3.847838,82.674,8.764,1.183
3.864121,82.674,8.764,1.183
3.895277,83.309,8.764,1.183
3.927748,83.356,8.752,1.108
3.928223,83.692,8.535,1.249
3.928537,83.076,8.890,1.209
3.928695,83.426,8.709,1.124
4.042916,83.426,8.709,1.124
4.081191,84.318,8.709,1.124
4.104832,84.166,8.785,1.182
4.105059,84.111,8.832,1.095
4.105476,84.396,8.679,1.051
4.105892,84.061,8.858,1.109
4.106486,84.083,8.832,1.180
4.106883,84.057,8.847,1.179
4.107154,84.124,8.808,1.181
4.107393,84.315,8.714,1.110
4.107518,84.166,8.801,1.093
4.224602,84.166,8.801,1.093
4.285833,84.064,8.840,1.198
4.286117,83.962,8.840,1.198
4.286434,83.922,8.867,1.180
4.287517,84.116,8.746,1.209
4.288022,83.932,8.869,1.137
4.288280,83.887,8.891,1.165
4.288443,84.083,8.780,1.136
4.288827,84.207,8.701,1.165
4.289067,84.208,8.697,1.181
4.289186,83.946,8.866,1.110
4.403713,83.946,8.866,1.110
4.464139,84.215,8.718,1.050
4.464346,84.162,8.725,1.177
4.464521,84.098,8.773,1.125
4.464749,84.049,8.813,1.068
4.464906,84.058,8.800,1.109
4.465114,84.276,8.673,1.094
4.465265,83.945,8.848,1.209
4.465402,84.164,8.742,1.080
4.465606,84.106,8.760,1.166
4.482774,84.729,8.760,1.166
4.582684,84.729,8.760,1.166
4.643268,84.756,8.762,1.068
4.643654,84.797,8.718,1.182
4.643898,84.690,8.796,1.094
4.644054,84.647,8.790,1.266
4.644208,84.828,8.705,1.152
4.644377,84.665,8.795,1.181
4.644531,84.922,8.639,1.221
4.644692,84.712,8.775,1.136
4.644843,84.855,8.675,1.237
4.681824,83.738,8.675,1.237
4.763676,83.738,8.675,1.237
4.825652,83.446,8.856,1.150
4.827232,83.797,8.653,1.179
4.827486,83.475,8.848,1.110
4.827729,83.600,8.752,1.240
4.828162,83.473,8.804,1.337
4.828497,83.458,8.881,0.996
4.828730,83.583,8.784,1.123
4.828931,83.560,8.786,1.180
4.829159,83.514,8.789,1.296
4.883618,83.264,8.789,1.296
4.946037,83.264,8.789,1.296
5.009548,83.475,8.692,1.178
5.010381,83.520,8.677,1.123
5.011411,83.383,8.758,1.109
5.012010,83.279,8.815,1.125
5.013727,83.272,8.814,1.151
5.015016,83.364,8.735,1.278
5.015380,83.436,8.725,1.124
5.015750,83.396,8.740,1.165
5.016206,83.422,8.731,1.137
5.082067,83.344,8.731,1.137
5.123954,83.344,8.731,1.137
5.184179,83.330,8.733,1.166
5.184754,83.239,8.778,1.195
5.184960,83.321,8.749,1.109
5.185179,83.201,8.812,1.137
5.185298,83.161,8.837,1.122
5.185465,83.175,8.832,1.109
5.185966,83.289,8.764,1.126
5.186371,83.392,8.689,1.208
5.186590,83.428,8.691,1.095
5.282099,83.311,8.691,1.095
5.303617,83.311,8.691,1.095
5.364405,83.061,8.800,1.265
5.364709,83.043,8.840,1.123
5.364856,82.939,8.869,1.265
5.365168,83.168,8.765,1.138
5.365349,83.296,8.703,1.080
5.365607,83.190,8.764,1.079
5.365814,83.142,8.776,1.152
5.365987,83.131,8.774,1.194
5.366111,83.085,8.806,1.167
5.483423,82.771,8.806,1.167
5.483632,82.771,8.806,1.167
5.546644,82.805,8.782,1.193
5.547334,82.754,8.825,1.124
5.547667,82.803,8.798,1.123
5.547906,82.942,8.717,1.137
5.548289,82.839,8.778,1.122
5.548545,82.855,8.763,1.152
5.548782,82.818,8.801,1.065
5.549029,82.775,8.804,1.166
5.549259,82.858,8.752,1.193
5.666558,82.858,8.752,1.193
5.683586,83.753,8.752,1.193
5.724913,83.831,8.704,1.210
5.725747,83.772,8.752,1.136
5.726129,83.795,8.727,1.196
5.726605,83.720,8.776,1.166
5.727175,83.679,8.794,1.197
5.727788,83.813,8.709,1.238
5.728127,83.682,8.796,1.179
5.729212,83.680,8.802,1.152
5.730059,83.841,8.720,1.097
5.845149,83.841,8.720,1.097
5.882797,81.909,8.720,1.097
5.905108,81.815,8.746,1.223
5.905833,81.745,8.814,1.109
5.906697,81.824,8.757,1.153
5.907059,81.701,8.819,1.197
5.908491,81.928,8.687,1.194
5.909220,81.658,8.842,1.206
5.909883,81.868,8.745,1.095
5.911023,81.789,8.774,1.166
5.911698,81.719,8.816,1.166
6.024294,81.719,8.816,1.166
6.084403,81.797,8.777,1.138
6.084932,83.039,8.777,1.138
6.085354,83.084,8.748,1.154
6.085665,83.016,8.793,1.124
6.085998,83.060,8.765,1.138
6.086527,82.932,8.837,1.137
6.087212,82.935,8.821,1.207
6.087562,83.060,8.753,1.195
6.088167,83.094,8.754,1.094
6.088668,83.067,8.772,1.080
6.204221,83.067,8.772,1.080
6.265232,82.976,8.815,1.125
6.265679,83.039,8.777,1.138
6.266072,82.942,8.826,1.165
6.266582,82.832,8.876,1.223
6.267207,83.186,8.693,1.138
6.267692,83.200,8.674,1.196
6.268148,82.949,8.825,1.153
6.268466,83.065,8.756,1.165
6.269176,82.963,8.811,1.181
6.287896,83.332,8.811,1.181
6.384615,83.332,8.811,1.181
6.445398,83.430,8.765,1.124
6.445906,83.346,8.826,1.066
6.447058,83.478,8.739,1.110
6.447894,83.433,8.752,1.179
6.448301,83.458,8.737,1.181
6.448698,83.446,8.747,1.166
6.449047,83.396,8.775,1.168
6.449936,83.341,8.809,1.167
6.450710,83.529,8.697,1.167
6.485131,83.051,8.697,1.167
6.564530,83.051,8.697,1.167
6.626514,82.837,8.814,1.194
6.627303,82.919,8.773,1.164
6.629335,82.837,8.811,1.210
6.630169,82.925,8.772,1.151
6.631025,82.982,8.743,1.135
6.631357,82.915,8.784,1.123
6.631633,83.033,8.705,1.180
6.632240,82.698,8.890,1.209
6.632774,82.845,8.815,1.168
6.685552,83.215,8.815,1.168
6.744966,83.215,8.815,1.168
6.803839,83.216,8.816,1.162
6.804336,83.467,8.669,1.179
6.804601,83.170,8.841,1.167
6.804872,83.335,8.758,1.109
6.805372,83.345,8.755,1.096
6.805635,83.145,8.855,1.166
